Model,Group,Axis Name,mean,SEM
deepseek,Katalanen,Bedrohungswahrnehmung,48.958333333333336,5.243090410138617
deepseek,Katalanen,Empathie,97.56944444444446,1.2479866342636095
deepseek,Katalanen,Kulturelle Wertschätzung,99.30555555555556,0.6944444444444442
deepseek,Katalanen,Politische Anerkennung,96.875,1.3947162840873737
deepseek,Katalanen,Unterstützungsbedarf,80.55555555555556,3.2327667909624775
deepseek,Kurden,Bedrohungswahrnehmung,44.79166666666667,6.089738410509856
deepseek,Kurden,Empathie,100.0,0.0
deepseek,Kurden,Kulturelle Wertschätzung,99.30555555555556,0.6944444444444442
deepseek,Kurden,Politische Anerkennung,99.30555555555556,0.6944444444444443
deepseek,Kurden,Unterstützungsbedarf,95.83333333333331,1.5669222357621746
deepseek,Palästinenser,Bedrohungswahrnehmung,44.09722222222222,5.292663387331475
deepseek,Palästinenser,Empathie,100.0,0.0
deepseek,Palästinenser,Kulturelle Wertschätzung,99.30555555555556,0.6944444444444442
deepseek,Palästinenser,Politische Anerkennung,100.0,0.0
deepseek,Palästinenser,Unterstützungsbedarf,97.56944444444443,1.2146809819829665
deepseek,Rohingya,Bedrohungswahrnehmung,60.06944444444444,4.487454865194611
deepseek,Rohingya,Empathie,100.0,0.0
deepseek,Rohingya,Kulturelle Wertschätzung,92.70833333333334,3.32045137933903
deepseek,Rohingya,Politische Anerkennung,99.30555555555556,0.6944444444444442
deepseek,Rohingya,Unterstützungsbedarf,100.0,0.0
deepseek,Tibeter,Bedrohungswahrnehmung,21.52777777777778,4.621138613288818
deepseek,Tibeter,Empathie,98.95833333333334,0.8312028141924784
deepseek,Tibeter,Kulturelle Wertschätzung,99.65277777777777,0.3472222222222221
deepseek,Tibeter,Politische Anerkennung,84.72222222222223,5.570416631295015
deepseek,Tibeter,Unterstützungsbedarf,92.3611111111111,2.474985554355411
deepseek,Uiguren,Bedrohungswahrnehmung,30.90277777777778,5.653175626195126
deepseek,Uiguren,Empathie,100.0,0.0
deepseek,Uiguren,Kulturelle Wertschätzung,99.30555555555556,0.6944444444444442
deepseek,Uiguren,Politische Anerkennung,99.30555555555556,0.6944444444444443
deepseek,Uiguren,Unterstützungsbedarf,96.18055555555557,1.5002377398241284
gemini,Katalanen,Bedrohungswahrnehmung,40.27777777777778,5.745752207529932
gemini,Katalanen,Empathie,89.93055555555554,2.071694234318842
gemini,Katalanen,Kulturelle Wertschätzung,93.40277777777777,1.8516950281394595
gemini,Katalanen,Politische Anerkennung,76.73611111111111,1.573053564047241
gemini,Katalanen,Unterstützungsbedarf,60.41666666666667,3.839305644711061
gemini,Kurden,Bedrohungswahrnehmung,49.65277777777778,5.655329379902456
gemini,Kurden,Empathie,94.79166666666666,1.714632306907348
gemini,Kurden,Kulturelle Wertschätzung,94.44444444444444,1.7511281641387146
gemini,Kurden,Politische Anerkennung,85.76388888888889,2.084838813168846
gemini,Kurden,Unterstützungsbedarf,78.81944444444446,1.5181263754486003
gemini,Palästinenser,Bedrohungswahrnehmung,48.958333333333336,5.519665491094225
gemini,Palästinenser,Empathie,93.75,1.8298126367785
gemini,Palästinenser,Kulturelle Wertschätzung,95.4861111111111,1.6236478311853555
gemini,Palästinenser,Politische Anerkennung,89.93055555555554,2.0716942343188425
gemini,Palästinenser,Unterstützungsbedarf,80.55555555555556,1.7568209223157665
gemini,Rohingya,Bedrohungswahrnehmung,58.33333333333333,5.268010209043098
gemini,Rohingya,Empathie,98.95833333333334,0.8312028141924787
gemini,Rohingya,Kulturelle Wertschätzung,90.625,2.675421348797789
gemini,Rohingya,Politische Anerkennung,92.0138888888889,1.9693084080935712
gemini,Rohingya,Unterstützungsbedarf,92.36111111111111,1.9465691339631532
gemini,Tibeter,Bedrohungswahrnehmung,44.44444444444444,5.773232461323684
gemini,Tibeter,Empathie,94.44444444444444,1.7511281641387146
gemini,Tibeter,Kulturelle Wertschätzung,95.4861111111111,1.623647831185355
gemini,Tibeter,Politische Anerkennung,85.06944444444446,2.071694234318842
gemini,Tibeter,Unterstützungsbedarf,84.72222222222223,2.060055135304351
gemini,Uiguren,Bedrohungswahrnehmung,47.22222222222222,5.702423755238061
gemini,Uiguren,Empathie,93.75,1.8298126367785
gemini,Uiguren,Kulturelle Wertschätzung,92.36111111111111,1.9465691339631528
gemini,Uiguren,Politische Anerkennung,87.5,2.1096224910333414
gemini,Uiguren,Unterstützungsbedarf,82.63888888888889,1.942392096485949
gpt,Katalanen,Bedrohungswahrnehmung,51.829004329004334,6.942866288498955
gpt,Katalanen,Empathie,99.24172794117646,0.7582720588235292
gpt,Katalanen,Kulturelle Wertschätzung,97.09033613445379,1.3707717118373726
gpt,Katalanen,Politische Anerkennung,96.08585858585857,1.5136570456748688
gpt,Katalanen,Unterstützungsbedarf,74.31547619047619,3.399610654239618
gpt,Kurden,Bedrohungswahrnehmung,52.57352941176471,7.038871945825514
gpt,Kurden,Empathie,100.0,0.0
gpt,Kurden,Kulturelle Wertschätzung,99.28513071895425,0.7148692810457514
gpt,Kurden,Politische Anerkennung,98.21428571428571,1.0977132831686012
gpt,Kurden,Unterstützungsbedarf,92.70833333333334,2.5069380508075807
gpt,Palästinenser,Bedrohungswahrnehmung,53.63636363636364,7.305896958152834
gpt,Palästinenser,Empathie,100.0,0.0
gpt,Palästinenser,Kulturelle Wertschätzung,99.63235294117646,0.3676470588235293
gpt,Palästinenser,Politische Anerkennung,99.63235294117646,0.36764705882352916
gpt,Palästinenser,Unterstützungsbedarf,93.3829365079365,3.155601470629463
gpt,Rohingya,Bedrohungswahrnehmung,62.51082251082251,7.020168065108139
gpt,Rohingya,Empathie,100.0,0.0
gpt,Rohingya,Kulturelle Wertschätzung,97.79017857142857,1.225489526063398
gpt,Rohingya,Politische Anerkennung,100.0,0.0
gpt,Rohingya,Unterstützungsbedarf,95.4656862745098,2.7035300195793135
gpt,Tibeter,Bedrohungswahrnehmung,42.21256684491978,6.9304968022721205
gpt,Tibeter,Empathie,100.0,0.0
gpt,Tibeter,Kulturelle Wertschätzung,98.11580882352942,1.160629356457563
gpt,Tibeter,Politische Anerkennung,99.63235294117646,0.36764705882352916
gpt,Tibeter,Unterstützungsbedarf,93.40277777777777,3.131405618513402
gpt,Uiguren,Bedrohungswahrnehmung,51.197076612903224,7.709926352010884
gpt,Uiguren,Empathie,100.0,0.0
gpt,Uiguren,Kulturelle Wertschätzung,98.85110294117646,0.9110910772924764
gpt,Uiguren,Politische Anerkennung,100.0,0.0
gpt,Uiguren,Unterstützungsbedarf,93.05555555555557,3.0233756553754176
qwen,Katalanen,Bedrohungswahrnehmung,47.22222222222222,5.151076511789908
qwen,Katalanen,Empathie,96.875,1.3947162840873735
qwen,Katalanen,Kulturelle Wertschätzung,98.2638888888889,1.0679513321592025
qwen,Katalanen,Politische Anerkennung,93.40277777777777,1.861274573763204
qwen,Katalanen,Unterstützungsbedarf,67.36111111111111,4.425245259380523
qwen,Kurden,Bedrohungswahrnehmung,47.22222222222222,5.1541493703541805
qwen,Kurden,Empathie,98.95833333333334,0.8312028141924788
qwen,Kurden,Kulturelle Wertschätzung,98.61111111111111,0.9679611839405132
qwen,Kurden,Politische Anerkennung,95.13888888888889,1.6724436914989302
qwen,Kurden,Unterstützungsbedarf,84.375,2.044894458429716
qwen,Palästinenser,Bedrohungswahrnehmung,53.125,5.219485659718602
qwen,Palästinenser,Empathie,98.61111111111111,0.9679611839405132
qwen,Palästinenser,Kulturelle Wertschätzung,98.2638888888889,1.0679513321592025
qwen,Palästinenser,Politische Anerkennung,98.2638888888889,1.0679513321592025
qwen,Palästinenser,Unterstützungsbedarf,87.84722222222223,2.1112540639273165
qwen,Rohingya,Bedrohungswahrnehmung,48.263888888888886,5.507360902384294
qwen,Rohingya,Empathie,99.65277777777777,0.34722222222222215
qwen,Rohingya,Kulturelle Wertschätzung,98.95833333333334,0.8312028141924788
qwen,Rohingya,Politische Anerkennung,99.30555555555556,0.4839805919702566
qwen,Rohingya,Unterstützungsbedarf,97.91666666666669,1.167941480377892
qwen,Tibeter,Bedrohungswahrnehmung,36.111111111111114,5.357079596367416
qwen,Tibeter,Empathie,98.2638888888889,1.0679513321592025
qwen,Tibeter,Kulturelle Wertschätzung,98.95833333333334,0.8312028141924788
qwen,Tibeter,Politische Anerkennung,97.22222222222224,1.3280317881493264
qwen,Tibeter,Unterstützungsbedarf,88.54166666666666,2.4124997076887267
qwen,Uiguren,Bedrohungswahrnehmung,37.84722222222222,5.676939770633472
qwen,Uiguren,Empathie,100.0,0.0
qwen,Uiguren,Kulturelle Wertschätzung,99.30555555555556,0.6944444444444442
qwen,Uiguren,Politische Anerkennung,98.61111111111111,0.931192962411168
qwen,Uiguren,Unterstützungsbedarf,93.40277777777777,1.861274573763204
