Source Model,Type,Scorer Model 1,Scorer Model 2,Krippendorff Alpha
gpt,Overall,All,,0.3546503962397576
gemini,Overall,All,,0.39096505375892165
qwen,Overall,All,,0.29434513911697946
deepseek,Overall,All,,0.5654511290440251
gpt,Pairwise,deepseek,gemini,0.3876277645738492
gpt,Pairwise,deepseek,gpt,0.3133749128291412
gpt,Pairwise,deepseek,qwen,0.24099963072283848
gpt,Pairwise,gemini,gpt,0.4330910887339182
gpt,Pairwise,gemini,qwen,0.33369732136464525
gpt,Pairwise,gpt,qwen,0.3389478305295818
gemini,Pairwise,deepseek,gemini,0.47167069604224776
gemini,Pairwise,deepseek,gpt,0.34469277760901385
gemini,Pairwise,deepseek,qwen,0.34038281899201805
gemini,Pairwise,gemini,gpt,0.41576586850801467
gemini,Pairwise,gemini,qwen,0.3472070452252697
gemini,Pairwise,gpt,qwen,0.3822688806090384
qwen,Pairwise,deepseek,gemini,0.358590109088724
qwen,Pairwise,deepseek,gpt,0.17111732723185247
qwen,Pairwise,deepseek,qwen,0.15905278895297303
qwen,Pairwise,gemini,gpt,0.3142143934329029
qwen,Pairwise,gemini,qwen,0.3038192624932162
qwen,Pairwise,gpt,qwen,0.39212730335812784
deepseek,Pairwise,deepseek,gemini,0.5943502250626425
deepseek,Pairwise,deepseek,gpt,0.5758055405929521
deepseek,Pairwise,deepseek,qwen,0.4813786773113806
deepseek,Pairwise,gemini,gpt,0.6105019175307056
deepseek,Pairwise,gemini,qwen,0.5203737751879879
deepseek,Pairwise,gpt,qwen,0.5858954847413245
