Source Model,Type,Scorer Model 1,Scorer Model 2,Krippendorff Alpha,Num_Texts,Num_Scorers
"('deepseek',)",Overall,All,,0.04471420329404596,2160,4.0
"('gemini',)",Overall,All,,0.030189677656204617,2160,4.0
"('gpt',)",Overall,All,,0.08632602012486679,2160,4.0
"('qwen',)",Overall,All,,0.07954198019637271,2160,4.0
"('deepseek',)",Pairwise,deepseek,gemini,0.011402027189912456,2160,
"('deepseek',)",Pairwise,deepseek,gpt,0.023736661680454407,2149,
"('deepseek',)",Pairwise,deepseek,qwen,0.08787800439156102,2151,
"('deepseek',)",Pairwise,gemini,gpt,0.0018077662176017029,2149,
"('deepseek',)",Pairwise,gemini,qwen,0.035520424503271086,2151,
"('deepseek',)",Pairwise,gpt,qwen,0.019245469898191647,2149,
"('gemini',)",Pairwise,deepseek,gemini,0.0019917881628477296,2160,
"('gemini',)",Pairwise,deepseek,gpt,0.0003402194830117722,2151,
"('gemini',)",Pairwise,deepseek,qwen,0.043757933379049985,2154,
"('gemini',)",Pairwise,gemini,gpt,0.0005598539503439692,2151,
"('gemini',)",Pairwise,gemini,qwen,0.024181705088568317,2154,
"('gemini',)",Pairwise,gpt,qwen,0.045703256380330126,2151,
"('gpt',)",Pairwise,deepseek,gemini,0.009410607697138862,2160,
"('gpt',)",Pairwise,deepseek,gpt,0.01540141761166458,2142,
"('gpt',)",Pairwise,deepseek,qwen,0.14722388543421672,2160,
"('gpt',)",Pairwise,gemini,gpt,8.348376799072188e-05,2142,
"('gpt',)",Pairwise,gemini,qwen,0.07453800292404722,2160,
"('gpt',)",Pairwise,gpt,qwen,0.08176775159182903,2142,
"('qwen',)",Pairwise,deepseek,gemini,0.0026378476706110376,2160,
"('qwen',)",Pairwise,deepseek,gpt,0.03738654057612101,2149,
"('qwen',)",Pairwise,deepseek,qwen,0.13266021409028417,2151,
"('qwen',)",Pairwise,gemini,gpt,0.017578785826007692,2149,
"('qwen',)",Pairwise,gemini,qwen,0.08596898434111744,2151,
"('qwen',)",Pairwise,gpt,qwen,0.03413043519762682,2149,
